PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,1200435,Santa Rosa do Purus,17120.516631189,19000.6063463583,18900.5513387986,22436.2779510935,23200.6283828967,28668.8954819297,33495.6044614365,33600.3925503208,35855,32463.4942900323,32206.8104004529,35908.5743275947,39388.4403796765,39767.7114184888,39415.553321924,43612.0245583168,42023.5230577204,44795.0152872117,44023.9210320843,50669.5972112768,
AC,1200450,Senador Guiomard,138245.059443328,146021.827409088,146913.00441888,151742.688153108,160956.245860467,178795.877192735,177747.387439965,177583.333160355,184620,210548.342005108,219286.325321298,231380.227319412,240242.560984556,231434.940679258,206525.649111767,220157.16658445,217343.382084065,202641.467963934,184560.199056351,363956.572821508,
AC,1200500,Sena Madureira,238246.406739685,242619.530673399,195465.116503748,201668.588672396,191245.932573098,206977.82529004,239103.031603255,244595.461652292,264528,260584.0735354,285377.981069377,339611.133408763,353187.318539599,317009.44861576,302122.893313478,306272.419858459,304688.549489079,303033.43229686,303574.234136471,349215.732241678,
AC,1200609,Tarauacá,149231.502100924,148688.234702849,154793.853828481,171126.71548383,170910.145408511,189339.897052307,205017.527447425,210290.317402787,227963,244105.831310886,250206.813315763,266927.61561491,285589.98294279,273313.520135033,269294.150172162,288124.148831666,285744.262607385,271171.520325811,269856.018343114,332312.640298057,
AC,1200708,Xapuri,79921.9823011944,92200.2032977015,88692.1524526012,89709.2964036285,89605.9702776712,104103.128801103,100708.761119785,105075.225648167,117260,120816.747447778,126057.885251686,134218.002429543,145176.961206126,139108.809667034,139836.019887418,141537.911694627,146538.597460301,154283.078741928,154240.454343818,212388.447268727,
AC,1200807,Porto Acre,76854.2120125243,82104.6692579762,74173.1613764351,74731.1502429522,81225.5396737312,93194.323984458,104538.04894744,110249.18735356,114661,115230.448848387,122700.104822226,137249.896632894,149901.065938619,145212.359222537,140097.386139408,140695.912202657,137585.299094483,127521.252738417,128171.437046817,220013.277531281,
AL,2700102,Água Branca,69113.9580686733,53011.2180313066,54651.8287071933,67344.8046041721,68086.0331696044,72933.5347603872,80767.2340176642,73763.6497701185,73774,118913.103800125,112455.710022411,84546.9673767385,82364.9578078922,79531.9938765532,80012.3298506564,83617.4030369277,82641.0110983482,89761.9625239736,87789.7904557024,94600.8312022783,
AL,2700201,Anadia,124569.593115373,92188.6657214911,86423.6829016022,92456.0408932737,99733.5721300141,94634.7660760933,100167.818054966,108039.519718272,85608,98504.7883418312,92065.2761918568,93049.1592820691,92761.086476696,86561.3627466558,90506.3117448698,86527.074246463,96546.7618338261,112901.980204607,122531.241563612,116915.153242846,
AL,2700300,Arapiraca,1219855.95181076,1139812.32801167,1193443.75454951,1285485.24302845,1408445.74935232,1573288.70688909,1592451.52668537,1764806.67809478,1908879,2019572.03762469,2385393.38827569,2365705.66068319,2535161.59255177,2699135.00136575,2469505.07547565,2511411.5690156,2615717.62469089,2789523.40033542,2758547.41971088,2761602.9811312,
AL,2700409,Atalaia,265700.22392818,288251.135794243,316826.41014125,304712.776231856,292966.753150398,285944.336093882,332521.387770025,323194.792312195,290761,327310.383875539,293164.336909877,289025.995380454,307332.372525158,338656.475775252,394716.328769626,468775.262217627,447398.468506335,532809.807357446,567595.858648904,700371.515577464,
AL,2700508,Barra de Santo Antônio,74420.5521708507,62966.6526934606,64756.7150806879,67523.6471442544,70811.4507357911,70800.5727001267,79940.7633602902,77727.607019682,74793,75304.708387659,74439.0671060843,93066.6616889109,92063.9785797245,92759.5516098741,109266.952934422,98394.0045864251,103785.997519499,103311.998129698,108207.002585681,122305.843819066,
AL,2700607,Barra de São Miguel,64829.1517367485,51750.6200234908,49577.9604307537,54572.5398930842,54855.7842228269,58837.4284216008,63897.8738812547,68164.6685784484,67809,79220.0103807209,89734.6720985611,91259.1404005314,92581.8301603319,99096.9562663247,100524.505559005,104799.564675051,113949.153588488,120441.701874587,120731.740572058,111301.328782366,
AL,2700706,Batalha,86201.9168565651,80646.7002700842,78521.1881942032,70937.4622831547,64968.4244437662,74435.5061128283,78021.7323618584,69652.2367804181,68777,76249.1445911257,82146.7383313248,91692.7227518372,89738.0725488767,101128.958213848,102576.73814441,106619.409507261,97919.4174273559,95836.8914080793,100380.492554673,107334.400438348,
AL,2700805,Belém,20298.1017250751,18873.4249246595,20260.6307748202,21370.0322253243,23140.927351267,21265.8207305785,22062.2313500904,23094.1710655641,24114,23239.7776636043,26502.1757941109,26687.9881778069,23462.6600752129,24055.5289616185,22907.6100955172,23387.514958663,49440.7823357278,63510.3136779516,94546.0987239918,89308.6369640891,
AL,2700904,Belo Monte,46224.7512703376,30726.7550734705,35220.1091470617,32821.5991792239,31444.150494612,42844.3491778239,33818.2730505848,37754.0906419722,37167,37015.806039098,34769.1920017423,49032.9927670295,42750.0495717392,48573.9675805364,40795.9731382587,50996.0419054174,46327.1262816329,56416.1542171007,61415.2273891683,70668.5550971814,
AL,2701001,Boca da Mata,236996.759660251,208188.659153363,206580.79516998,207110.038229695,208683.145469642,206887.519765736,202370.311379922,213046.438663288,197707,229351.208237764,208676.73127457,216044.141106344,240323.705819125,204459.309020187,170006.059237255,164598.662315563,192941.852251814,198292.039135608,237545.212856054,236217.5589629,
AL,2701100,Branquinha,64705.4212936429,69793.0896938728,62131.0432571605,66283.0036186858,67120.5741564563,66560.4530509372,70469.7871220046,73925.2005442392,65198,53037.0630038694,40016.2584649969,38602.3538533222,46588.9379271252,105280.057703675,238168.728357527,241707.70300031,291073.25829899,284094.509997882,364584.705730765,361967.040154739,
AL,2701209,Cacimbinhas,32322.65286898,28079.826285484,33746.3884206305,36715.0996077046,36783.6625213639,37539.2192065524,46228.3504692253,44012.2857307251,41937,42887.3742248734,47852.2198238133,51052.1340654041,51944.4970086207,54649.3996605597,49324.6330696941,54009.1272967428,55149.8349728108,57185.353037147,61160.8697710073,65568.2186548726,
AL,2701308,Cajueiro,98322.1277998273,116142.094276697,97393.5760752758,103055.897795913,102559.191942175,103726.80093749,108771.047458623,105159.795852069,95208,96542.9829338481,114983.880921414,102062.898805546,100072.236071283,96797.495405695,97523.8687339757,105075.539799236,107589.494993891,98987.8534116,102163.106733403,97034.7644084103,
AL,2701357,Campestre,48281.5357432998,51661.2633356924,30350.3761025645,29325.8598532451,29563.1517238224,31370.8443631125,34709.3556149108,38101.0453246474,32257,37300.1524229375,37082.6907438945,40107.5608417086,38838.1308652419,38119.0672464179,36066.0052381707,39135.2307478098,34156.5199674985,35010.0646289892,32679.6768046831,40966.5408969961,
AL,2701407,Campo Alegre,264762.479011797,250089.414419349,242915.424672133,261113.011266429,259707.674319947,240640.761817963,234592.138247164,247557.587255631,245301,278232.936586888,263691.816889705,240771.064153933,252024.053283532,272031.088936292,283430.765607457,303787.419904322,269043.424351464,292949.005399715,319504.303471381,342939.041430467,
AL,2701506,Campo Grande,28489.6440801133,34608.2195019982,31551.1515863193,29476.7983425998,33109.1041701212,36427.1361015705,40419.0755430627,40099.2874501795,36075,43589.0081590227,42242.5199163175,44335.9832218744,43697.9687755576,46710.6704858955,44843.3437394606,51194.3034137012,50155.8047246783,52136.3971591805,48000.237739228,49534.7886911182,
AL,2701605,Canapi,46416.0689693064,34979.428403328,37268.1990618595,49560.1070245682,52765.008722588,57787.4884271696,67689.0212412451,62071.2769639663,61549,63113.8187818157,61994.0688816642,59999.8417812508,58208.8782372791,63979.6009754618,63829.1912869167,66254.2231062092,68753.9996883792,70484.7950170567,71063.4023535622,77711.7434773348,
AL,2701704,Capela,145311.275982977,144851.939826906,127353.539432335,116137.046064972,116350.623311572,116168.497414337,125277.819502983,121667.249113722,113002,93419.788724339,107485.750247681,116765.716116523,108626.376995391,108126.094855961,116196.964916793,109576.810339161,107713.643025388,106741.085345726,112809.714506014,115759.338394672,
AL,2701803,Carneiros,40946.7882369157,16504.2821413568,22568.4688991541,23519.9574154482,23607.9886375963,27283.6707569209,29731.174045269,28823.2602632374,27884,29607.1056160088,31650.0312207335,33187.7456276573,32799.4798127457,34611.9265243004,34898.7384817112,35102.689576235,36255.3244244998,37120.44502935,37285.0272895196,42374.4316813639,
