"","id_municipio","ano","share_feminino","share_esquerda","open","logPop","gdppc","vote_margin"
"4632",4209300,2020,0.55554518670595,0.0624308434762901,0,11.9662215472134,19.7185882169601,-0.000680222529941932
"4633",4209409,2012,0.151322826784568,0.189581401982457,1,10.6631244743649,13.730535384756,-0.297924673328209
"4634",4209409,2016,0.0721725166322551,0.17604955264969,1,10.7140176887311,11.0610627297378,-0.120902255639098
"4635",4209458,2012,0.031055900621118,0.275066548358474,1,7.29844510150815,46.5877779163857,-0.143046357615894
"4636",4209607,2008,0.149159917804908,0.11265562673758,1,9.55612624458275,14.961661837506,-0.0357352079671939
"4637",4209607,2020,0.169878658101356,0.140970735189151,0,9.63645741981521,14.2122357830791,0.0619329388560158
"4638",4209805,2008,0.0445326278659612,0.0216049382716049,0,8.21148291644507,12.4037788418248,0.063150074294205
"4639",4209805,2012,0.0219072164948454,0.0330756013745704,0,8.10440130792161,16.6220177098148,0.0725369902562252
"4640",4209854,2012,0.058252427184466,0.31142643764003,1,8.43858279083433,22.4071958098568,-0.166407465007776
"4641",4209904,2008,0.0290342941300231,0.114664422470019,0,9.1641917159502,13.3847325168945,0.0869493209672077
"4642",4209904,2012,0.181926043108562,0.230966976468262,0,9.26160366591373,17.351709801382,0.0913962488835963
"4643",4210035,2016,0.0524699972090427,0.130616801562936,0,8.64874763115654,17.3181410539939,-0.131924882629108
"4644",4210100,2020,0.438956647747857,0.110010868252627,1,10.9430749807536,19.6512947144018,-0.0925874514158801
"4645",4210308,2020,0.231046931407942,0.0841432935295751,1,9.00650913169435,15.6098459518269,-0.0794049863817305
"4646",4210407,2012,0.231054060725747,0.240681313255986,1,8.78492762605832,15.6585289790251,-0.176895306859206
"4647",4210506,2008,0.0329910024538762,0.194946832681996,1,10.0297236490813,24.0737317245347,-0.154933837429112
"4648",4210506,2012,0.0542264752791069,0.105263157894737,0,10.0275618676381,29.0585859340876,0.0395128552097428
"4649",4210506,2016,0.0406723222072465,0.130341710933164,0,10.1150442345984,24.6647626821749,0.0668225860340795
"4650",4210704,2008,0.0261744966442953,0.179194630872483,0,7.95962530509811,9.27171037738683,-0.0245484020379805
"4651",4210704,2012,0.178224238496436,0.248865845755023,1,7.93164402145431,11.138446774573,-0.0531264692054537
"4652",4210704,2020,0.157648630594522,0.488309953239813,1,7.81601383915903,10.9857909838182,-0.0340068999507146
"4653",4210803,2016,0.0449623352165725,0.116760828625235,1,8.86163359768663,20.3378725613338,-0.0215361158757385
"4654",4210852,2008,0.0231566118220597,0.0585009140767824,1,7.86365126544865,12.5330765289709,0.112340896513558
"4655",4210852,2012,0.0283251231527094,0.0720443349753695,0,7.81480342948936,13.8572680145388,0.095770539620807
"4656",4210852,2020,0.0538599640933573,0.0700179533213645,1,7.7332456465298,17.2952529008945,-0.151369533877943
"4657",4211058,2016,0.0377530134182397,0.144189219922675,1,9.18399639663658,10.4260441761342,0.424342649247561
"4658",4211058,2020,0.186512614949304,0.215043621787314,0,9.20089591314818,10.3782471706357,0.0268948655256724
"4659",4211108,2020,0.209280742459397,0.117169373549884,0,9.02026886172217,12.847821195536,-0.22056501140551
"4660",4211504,2008,0.135139922068721,0.108395324123273,0,9.37856300439064,16.9942854091344,-0.0811658606718076
"4661",4211504,2012,0.0181485181485181,0.0787545787545788,1,9.43699774259019,22.1915476700782,-0.0242957746478873
