ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2010,2101400,2195,0,2193,0,2034
2012,5212303,50,41,50,2,45
2012,3103504,1538,1536,1538,324,1530
2012,5101803,1142,845,1142,218,993
2012,5214838,158,135,158,23,144
2012,5219605,19,19,19,2,19
2012,5203401,105,105,105,19,105
2012,3103751,108,108,108,25,108
2012,3170404,1528,1410,1528,202,1499
2012,3161106,814,752,814,129,809
2012,5002704,15101,15081,15101,3039,14916
2011,5217302,93,52,93,9,86
2011,5221502,41,33,41,9,41
2011,5201405,4125,2259,4125,346,4027
2011,5207600,43,0,40,0,39
2011,3204609,272,177,272,1,265
2011,5218508,499,269,499,71,497
2016,2207009,863,862,863,149,851
2016,2210607,1727,1687,1727,279,1710
2016,2208403,1263,1259,1263,165,1254
2016,2202208,987,987,987,129,986
2016,2209104,20,20,20,5,20
2016,2304400,48431,44703,48431,10700,46151
2016,2112506,472,470,472,116,465
2011,5006606,1710,346,1710,62,1421
2011,4218806,298,58,298,10,296
2011,4215000,525,327,525,43,522
2011,4215802,1272,740,1272,113,1265
2011,4219309,861,451,861,88,860
2011,4215505,399,114,399,22,393
2011,4200804,53,0,53,0,53
2011,4218301,376,0,376,0,374
2011,2708006,3079,3035,3079,509,3039
2019,1400456,185,185,185,44,160
2019,1400159,121,121,121,31,115
2019,2112308,485,485,485,35,485
2020,2404200,29,27,29,6,27
2020,2405702,75,75,75,9,73
2020,2301109,1423,1406,1423,262,1416
2016,2800308,19146,19142,19146,3889,19025
2016,4203204,110,108,110,25,109
2016,4216503,233,233,233,47,229
2016,4212205,240,238,240,32,230
2016,4214201,253,253,253,45,249
2016,2801306,675,661,675,109,660
2016,4113700,8702,8687,8702,2023,8660
2016,5107909,3138,3137,3138,622,3130
2016,4120606,594,585,594,118,588
2012,3306008,1794,1782,1794,384,1760
2012,3300456,9100,8909,9100,1214,8911
2012,3133303,549,502,549,124,541
2012,3301108,312,238,312,60,307
2012,3302056,136,136,136,94,136
2012,3303609,1538,1538,1538,358,1533
2012,3204807,171,170,171,33,169
2012,4314902,32580,32460,32580,8058,31869
2018,2607901,5220,5023,5220,721,5100
2018,2507507,18945,18888,18945,3825,18635
2018,3112604,117,117,117,41,115
2018,3160405,391,388,391,99,386
2018,2604700,39,36,39,11,36
2015,2803203,25,24,25,8,23
2015,3137205,536,430,536,118,525
2021,1200328,177,166,177,57,168
2021,2703809,135,135,135,12,134
2021,2105302,8338,8321,8331,1102,8266
2021,2109007,813,813,813,75,811
2021,2106300,35,35,35,6,35
2021,2110609,290,288,290,36,290
2021,2110203,532,532,532,77,530
2021,2108058,443,417,443,47,438
2021,2110237,132,127,132,21,131
2011,4124400,220,0,220,0,217
2011,4104402,161,0,161,0,160
2011,4114500,180,0,180,0,168
2011,4117222,83,0,83,0,83
2011,4120606,724,0,724,0,717
2011,4115606,397,0,397,0,394
2011,3557204,235,0,235,0,235
2011,4103206,87,0,87,0,87
2011,3541406,4828,813,4828,205,4779
2011,5100250,954,857,954,177,908
2011,3535507,536,0,536,0,533
2011,3553807,309,0,309,0,306
2021,3301702,10224,10224,10224,1841,9849
2021,3304300,1078,1065,1078,125,1078
2021,3305802,2303,2279,2303,519,2255
2021,3305703,164,158,164,23,161
2015,2706901,45,43,45,12,43
2015,1302553,124,123,124,29,122
2015,2602803,367,365,367,58,364
2013,3519709,813,805,813,155,786
2013,3549904,10352,9672,10352,2555,10171
2013,3526704,1172,1122,1172,275,1165
2013,3546306,404,386,404,92,402
2013,3505203,434,172,432,17,429
2013,3513009,3131,3122,3131,587,3077
2013,3503703,69,69,69,15,69
2013,3557105,1830,1830,1830,496,1800
2013,3507407,107,107,107,37,107
2013,3529203,213,205,213,38,213
2013,3508801,212,149,212,20,210
2013,3515202,61,61,61,13,59
2013,3306305,3948,3160,3948,973,3833
2020,5006358,279,279,279,85,270
2020,5210208,686,683,686,86,681
2020,3504008,1885,1884,1885,559,1877
2020,5000856,72,72,72,24,72
2020,5000807,44,44,44,8,44
2020,5103502,426,426,426,91,426
2020,5106158,90,90,90,11,89
2020,3526001,523,522,523,127,518
2020,5105580,42,42,42,7,36
2020,3543402,11735,11735,11735,2628,11705
2020,1503606,2473,2406,2473,581,2393
2022,5003702,5019,5019,5019,1631,4973
2022,5007406,129,129,129,19,125
2022,5103502,422,421,422,68,420
2022,5106299,136,136,136,26,136
2022,5101308,439,439,439,84,438
2022,5005004,515,514,515,83,513
2022,5007695,366,364,366,67,361
2022,5101704,98,97,98,23,97
2022,5105622,280,279,280,120,275
2022,1200435,137,137,137,42,132
2022,1200500,665,665,665,110,657
2022,1200104,900,900,900,168,894
2012,1506112,16,3,16,2,16
2012,2506004,289,202,289,39,288
2012,1505205,564,514,564,126,521
2012,1500404,1169,1148,1169,140,1149
2012,2515401,17,17,17,0,17
2012,2400505,838,806,838,95,818
2012,2102606,232,230,232,47,222
2012,2102002,633,566,633,91,604
2012,2511301,332,328,332,34,331
2012,2504405,127,112,127,16,114
2012,2506905,503,454,503,62,467
2012,3516200,5055,4145,5055,894,5012
2012,2112308,950,932,950,153,946
2012,2411502,884,819,884,125,860
2012,4115200,6931,6928,6931,2048,6896
2012,2407203,293,273,293,69,286
2021,1506807,7601,7196,7601,1737,7467
2021,5100805,99,96,99,21,97
2021,1503606,2714,2674,2714,646,2656
2021,5100201,1018,988,1018,252,976
2021,1508084,711,710,711,124,704
2021,5105606,405,405,405,37,401
2021,5100607,132,127,132,23,128
2021,1507755,35,34,35,7,34
2021,5107875,511,475,511,115,509
2012,4125506,3434,3386,3434,720,3398
2012,2205805,585,585,585,94,570
2012,4108304,4758,4602,4758,994,4690
2012,4205001,211,192,211,23,208
2012,2208205,52,50,52,7,51
2012,2314102,854,849,854,147,844
2012,4124301,23,23,23,5,23
2012,4116703,107,107,107,28,106
2012,2911105,359,355,359,64,355
2012,4125100,112,104,112,22,110
2012,4103701,1050,1026,1050,200,1046
2012,4111605,25,24,25,2,25
2012,4104451,133,133,133,29,133
2012,4121000,151,148,151,29,150
2012,4107538,65,64,65,15,65
2012,3544251,318,316,318,80,317
2012,2931905,419,415,419,91,413
2019,2208304,407,407,407,68,407
2019,5208004,1637,1637,1637,192,1624
2019,2307650,7040,6986,7040,1071,6997
2019,2302800,1726,1558,1726,301,1704
2019,2308104,359,356,359,53,358
2019,2304608,23,22,23,5,23
2019,5201405,3419,3416,3419,390,3354
2019,2303204,17,17,17,10,17
2019,5106224,886,886,886,140,882
2019,3170404,1571,1567,1571,245,1559
2019,2407104,2361,2311,2361,251,2338
2019,3549805,10337,10334,10337,2660,10314
2020,4207304,459,448,459,51,442
2020,4303103,1575,1575,1575,385,1539
2020,4310306,64,64,64,11,64
2020,4321451,683,683,683,165,683
2020,4216701,89,89,89,12,89
2020,5201405,3349,3347,3349,359,3309
2020,4108403,2894,2893,2894,754,2871
2020,4120606,452,452,452,60,452
2020,4309407,332,332,332,58,331
2010,2203602,29,0,29,0,29
2010,2209203,117,4,117,0,116
2010,2506905,236,9,236,1,234
2010,2510808,3176,548,3143,93,3097
2010,2600302,251,0,251,0,250
2010,2600401,17,0,15,0,13
2010,2605301,265,0,265,0,264
2010,2615102,52,0,52,0,52
2010,2615706,52,1,52,0,49
2010,3306305,3791,0,3784,0,3748
2010,3549904,10266,0,10214,0,10123
2018,2103000,3697,3697,3697,891,3656
2018,2406700,50,48,50,9,49
2018,1505536,5132,5048,5132,1039,5077
2015,2609907,2682,2600,2682,552,2658
2015,2211209,444,444,444,55,441
2015,2611705,142,135,142,13,139
2015,2608057,15,13,15,7,15
2015,2600609,47,45,47,8,44
2015,2601102,1736,1734,1736,263,1733
2015,2511400,729,726,729,75,728
2015,3113404,2119,2090,2119,510,2099
2022,4125506,2725,2711,2725,704,2688
2022,4122008,160,160,160,16,160
2022,4104402,96,93,96,21,91
2022,4109807,831,830,831,80,824
2022,4105904,565,565,565,46,565
2022,4123709,54,52,54,8,54
2022,4118402,2336,2333,2336,575,2330
2022,4108809,356,351,356,61,352
2016,4101101,191,190,191,25,189
2016,4101200,181,181,181,18,177
2016,4107009,118,117,118,25,117
2016,4103602,110,110,110,13,110
2016,3522406,2775,2775,2775,628,2763
2016,3550605,1849,1846,1849,447,1838
2016,3529005,4259,4254,4234,1089,4196
2013,2914307,27,20,27,6,20
2013,2905800,145,115,145,32,137
2013,2311405,989,973,989,173,983
2013,2914703,1580,1324,1580,260,1531
2013,2307635,72,70,72,11,70
2013,2919801,548,480,548,75,523
2013,2309201,40,38,40,11,39
2013,2902609,144,77,144,22,142
2013,2902807,902,878,902,151,885
2013,2923605,819,813,819,166,813
2013,2925709,18,13,18,4,17
2013,2313351,69,68,69,19,66
2013,2903235,55,50,55,12,54
2013,2301109,1327,1312,1327,233,1316
2013,2918506,116,112,116,27,116
2013,2927101,41,37,41,6,36
2013,2930006,54,49,54,10,53
2019,2104081,83,53,83,16,59
2019,2108058,417,367,417,58,408
2019,2101707,1557,1556,1557,230,1549
2019,2112456,65,37,65,14,0
2019,2111409,111,111,111,17,110
2019,2108207,1033,1033,1033,164,1022
2019,2106409,162,162,162,20,160
2019,2105153,24,20,24,5,22
2019,2108405,19,18,19,3,18
2019,1505031,653,644,653,116,646
2019,2914000,701,29,701,5,699
2017,3552403,2521,2521,2521,528,2504
2017,3538709,6178,6176,6178,1315,6145
2017,3524303,845,845,845,113,836
2017,3524402,2931,2886,2931,671,2890
2017,3518800,18480,18476,18480,3239,18360
2017,3522703,378,378,378,98,376
2017,3538808,579,576,579,147,576
2017,3523206,689,689,689,73,688
2017,3529708,227,227,227,42,227
2017,3530300,534,534,534,61,532
2017,3529203,203,203,203,37,202
2017,3550704,1185,1177,1185,137,1169
2017,3537107,34,34,34,13,32
2017,3534906,31,31,31,8,31
2017,3501103,21,21,21,6,21
2017,4108304,4954,4932,4954,1023,4911
2022,1304104,422,414,422,103,416
2022,1301308,426,417,426,90,422
2022,1600279,871,871,871,250,869
2022,1303809,1430,1430,1430,304,1416
2019,1303908,951,951,951,333,935
2019,1303700,779,779,779,6,778
2019,1304260,342,342,342,58,338
2019,1300839,125,123,125,21,123
2019,2924009,2956,2842,2956,524,2881
2019,2709301,2070,2066,2070,271,2060
2019,2701704,109,105,109,24,105
2019,2709152,203,201,203,17,197
2019,2704005,66,66,66,10,66
2019,1600204,87,87,87,26,84
2011,2110104,487,316,487,57,478
2011,2100477,476,356,476,47,465
2011,2106508,310,202,310,48,306
2011,2105401,1516,930,1516,136,1455
2011,2110203,688,519,688,89,666
2011,2111789,69,2,69,0,55
2011,1502939,722,87,722,17,714
2011,2111532,81,33,81,8,80
2013,4304630,918,901,918,117,904
2013,4322202,142,111,142,29,132
2013,4312658,273,273,273,74,273
2013,4309605,185,184,185,26,180
2013,4319000,210,210,210,118,209
2022,3205002,8650,8648,8650,2604,8523
2010,4119806,81,0,81,0,81
2010,4114203,326,0,326,0,322
2010,4126603,184,0,184,0,181
2010,4213609,458,0,458,0,457
2010,4106001,112,0,112,0,112
2010,4108403,1852,0,1852,0,1843
2010,4110706,1436,0,1436,0,1423
2010,4108205,103,0,103,0,102
2010,4104709,142,0,142,0,140
2010,4123402,79,0,79,0,78
2010,4111308,46,0,46,0,46
2010,4103602,209,0,209,0,207
2010,4122602,43,1,43,1,42
2010,4309407,238,0,238,0,237
2015,4321907,601,601,601,152,600
2015,4313409,5634,5634,5634,1187,5610
2015,4309308,325,325,325,40,321
2015,4322004,296,296,296,38,296
2015,4318200,236,228,236,39,230
2015,4320305,77,77,77,9,77
2015,4302352,99,99,99,14,99
2015,4313607,28,28,28,6,28
2015,3300209,1565,1431,1565,333,1497
2015,4218905,50,47,50,2,43
2015,4218202,637,634,637,70,637
2015,4210902,18,18,18,3,18
2015,4104808,6751,6748,6751,1293,6737
2015,3548807,1171,1165,1171,264,1163
2011,1400308,26,15,26,5,24
2011,4318804,530,522,530,69,525
2011,4302303,158,133,158,23,157
2011,4314472,30,30,30,7,30
2011,4315305,241,232,241,46,240
2011,4311908,30,30,30,3,30
2011,4301008,217,214,217,49,217
2016,1303809,1249,1248,1249,294,1132
2016,1302603,42649,42265,42648,6518,41580
2016,1301605,575,573,575,124,560
2016,1600238,51,48,51,15,45
2016,2610004,5486,5264,5486,905,5310
2016,2601409,238,232,238,34,234
2013,4204806,1123,1072,1123,259,1107
2013,4200804,68,43,68,4,68
2013,4200903,155,154,155,44,155
2013,4219002,297,293,297,47,297
2013,4209706,18,0,18,0,18
2013,4212205,266,261,266,53,263
2013,4217303,74,74,74,12,74
2013,4211504,117,117,117,23,116
2013,4104428,294,294,294,57,290
2016,2108207,831,826,831,143,822
2016,2105005,432,339,432,31,432
2016,2105427,209,208,209,32,209
2016,2112456,103,67,103,21,2
2016,2102705,129,129,129,31,128
2016,3170107,5166,4951,5166,1217,5028
2016,2107902,377,377,377,9,375
2016,2111573,118,118,118,23,116
2016,2102507,75,50,74,3,73
2016,2111532,27,26,27,11,26
2018,2112209,2786,2776,2786,180,2688
2018,2208007,3364,3364,3363,266,3321
2018,2611705,127,125,127,10,126
2018,2200509,172,172,172,17,170
2018,2302503,2265,2252,2265,457,2247
2018,2926004,967,967,967,207,952
2018,2102101,500,483,500,79,491
2018,2207009,1177,1177,1177,197,1172
2018,2911105,305,294,305,57,299
2018,2603207,128,120,128,19,128
2018,2606804,15,13,15,4,14
2018,2103406,1187,1167,1187,154,1180
2012,2103703,986,358,966,46,925
2012,2104081,54,11,54,2,49
2012,2105906,44,29,44,8,38
2012,2107506,48,10,48,2,48
2012,2112407,779,563,779,127,716
2012,2105609,137,137,137,11,137
2012,2106003,177,174,177,33,177
2012,1709005,157,127,157,48,153
2012,4201406,1217,1210,1217,230,1207
2015,2104057,639,639,639,128,639
2015,2111201,1587,1583,1587,269,1582
2015,2112902,601,600,601,91,596
2015,2102804,170,145,170,25,161
2015,2110658,135,124,135,20,127
2015,4108205,66,66,66,10,66
2015,2100709,186,129,186,21,185
2015,2100105,31,27,31,9,29
2015,2102507,90,39,90,8,83
2015,5217609,1086,1035,1086,180,1055
2015,1505502,1965,1811,1964,50,1964
2010,1600212,34,0,34,0,28
2010,1300300,741,0,741,0,702
2010,1300409,243,1,242,0,220
2010,1301506,286,0,286,0,266
2010,1600550,42,1,42,1,38
2010,2910404,220,0,218,0,200
2010,1303536,439,0,436,0,418
2010,1303601,310,0,310,0,292
2010,2913507,377,0,377,0,354
2010,1304005,172,2,172,1,166
2010,2917003,549,0,549,0,539
2010,2918001,3486,12,3485,3,3418
2010,2920205,189,0,189,0,184
2010,2921500,811,0,801,0,782
2010,2930402,20,0,20,0,20
2010,2930204,352,0,352,0,337
2010,2918456,24,0,24,0,23
2010,2929370,90,0,90,0,88
2010,2903235,112,0,112,0,110
2010,2904902,289,0,289,0,289
2010,2912905,265,4,265,1,257
2010,2928000,559,0,557,0,550
2010,2928703,3011,1,3010,0,2991
2010,2300408,84,0,84,0,83
2008,1100205,8331,0,7932,0,7692
2008,1300102,298,0,298,0,289
2008,1200385,153,0,152,0,149
2008,1506807,7388,0,7385,0,7246
2008,2705606,42,0,42,0,39
2008,1101500,161,0,161,0,161
2008,2612307,165,0,165,0,161
2008,1501808,2239,0,2237,0,1890
2008,2704203,106,0,106,0,101
2017,3306206,1150,1150,1150,357,1122
2017,3300902,109,109,109,15,108
2017,3302601,328,206,328,33,305
2017,2408102,20943,20608,20943,5438,20685
2017,3300605,518,489,518,90,506
2017,5107602,4770,4754,4770,852,4745
2020,2102507,179,152,179,23,150
2020,2211209,381,381,381,56,378
2020,2103703,1120,1093,1120,200,1104
2020,2110658,31,3,31,0,10
2020,3526902,4170,4166,4170,755,4113
2020,3304904,6847,6839,6847,792,6834
2020,2100501,92,90,92,1,91
2017,2909307,339,311,339,42,334
2018,2109601,263,230,263,41,253
2018,2104107,194,187,194,27,190
2018,2111029,227,227,227,40,226
2018,2107209,104,104,104,27,104
2018,1709302,576,575,576,54,572
2015,3533007,188,188,188,95,188
2015,3138401,683,682,683,107,679
2015,3141801,444,423,444,78,433
2015,3132909,47,47,47,10,47
2015,3119401,827,790,827,148,819
2015,3138906,150,150,150,23,150
2015,3131901,720,709,720,153,715
2015,5211503,1600,1597,1600,330,1579
2015,3530508,894,876,886,163,877
2015,3139003,338,337,338,71,334
2015,3300407,2144,2142,2144,461,2138
2015,3554102,4081,4077,4081,930,3994
2017,3162708,229,229,229,38,227
2017,3111507,174,174,174,34,173
2017,3158201,491,419,491,72,481
2017,3123205,173,172,173,23,170
2017,3157203,541,541,541,102,525
2017,3135209,1158,1158,1158,135,1131
2017,3167202,3913,3815,3913,717,3907
2017,3149903,40,40,40,9,40
2017,3107802,89,27,89,7,87
2017,3117702,110,110,110,19,110
2017,3114402,189,189,189,29,182
2017,3153400,19,19,19,7,17
2017,5221858,463,463,463,42,460
2017,3205069,674,673,674,76,669
2011,1100106,1041,466,1041,93,1038
2011,3304144,2676,919,2676,108,2643
2011,3305208,1193,582,1193,107,1187
2011,2412906,17,0,17,0,17
2011,3300803,579,173,579,25,571
2011,1100031,59,0,59,0,59
2017,4116703,188,185,188,22,188
2017,4104907,1282,1247,1282,199,1250
2017,4117701,269,269,269,53,268
2017,4101903,221,189,221,46,221
2017,4104402,131,128,131,18,131
2017,4102109,408,406,408,29,407
2017,4105409,416,416,416,62,416
2017,4317509,1695,1692,1695,385,1686
2017,5001904,389,378,389,63,385
2017,4300406,1031,1028,1031,360,1020
2012,1100114,938,901,938,160,935
2012,1101500,120,118,120,9,116
2012,1100148,264,255,264,53,262
2021,2901155,118,118,118,20,116
2021,2906873,601,600,601,77,598
2021,2911303,47,45,47,6,44
2021,2911204,468,341,468,51,459
2021,2918506,119,117,119,14,119
2021,2922003,703,685,703,106,697
2021,2922904,139,133,139,32,137
2021,2920502,108,104,108,22,103
2021,2925402,38,27,38,4,32
2021,2910404,118,118,118,19,118
2021,2930303,226,7,226,0,226
2021,2909406,46,46,46,0,46
2018,1300904,214,204,214,20,207
2018,1302702,916,916,916,187,897
2018,1600535,107,104,107,27,100
2018,1600600,2641,2536,2641,532,2490
2018,1301506,333,333,333,28,331
2018,1300300,853,771,853,132,819
2017,2708501,236,191,236,19,223
2017,1303502,346,346,346,32,342
2017,1100304,2270,2267,2270,311,2250
2017,5106752,824,806,824,156,818
2017,2600104,1653,1652,1653,189,1650
2021,3204906,2630,2629,2630,271,2617
2021,5209952,189,189,189,16,189
2021,5201702,161,161,161,29,156
2021,5204904,445,445,445,102,445
2021,5219506,16,16,16,3,16
2021,5222005,269,269,269,34,268
2021,3203403,245,244,245,22,245
2021,5210901,176,176,176,30,175
2021,5204102,67,67,67,1,67
2018,2311959,43,43,43,16,43
2018,2305209,75,62,75,14,73
2018,2309300,93,78,93,10,92
2018,2307007,22,22,22,5,22
2018,2930303,247,232,247,40,247
2018,2917359,200,168,198,19,198
2009,1200344,143,0,142,0,124
2009,2507507,18743,0,18737,0,18445
2009,2111300,22425,0,22220,0,21753
2016,4312500,17,17,17,6,16
2016,4320677,59,59,59,8,59
2016,4319000,171,171,171,28,169
2016,4316402,478,478,478,89,472
2016,4309001,126,124,126,17,122
2015,3300100,2805,2769,2805,689,2769
2015,3300902,76,68,76,15,73
2015,3302007,888,886,888,157,871
2015,3304409,129,127,129,11,127
2015,2407807,26,24,26,3,21
2015,2409308,116,113,116,19,116
2015,1100189,867,867,867,151,866
2015,1100098,513,443,513,64,511
2015,1100148,200,200,200,40,197
2015,1100338,15,12,15,4,13
2015,4104303,2070,2070,2070,457,2064
2021,2311801,1001,994,1001,134,993
2021,2306702,62,62,62,7,61
2021,2313500,141,139,141,26,139
2021,2300408,46,46,46,12,45
2012,2707602,36,0,36,0,35
2012,1303908,950,949,950,376,925
2012,1302306,580,576,580,124,529
2012,1300300,815,814,815,167,743
2012,1301951,192,185,192,8,158
2012,2704708,103,77,103,24,98
2012,2602902,1314,1310,1314,249,1230
2008,5216304,103,0,103,0,101
2008,2106805,240,0,240,0,239
2008,2105401,1544,0,1534,0,1517
2008,2110005,1612,0,1603,0,1526
2008,3170107,4302,0,4302,0,4233
2008,2105906,246,0,242,0,237
2008,5211305,63,0,63,0,63
2008,5208509,21,0,21,0,21
2008,1721000,5093,0,5091,0,5066
2008,5101803,1003,0,1003,0,981
2008,2100477,707,0,703,0,685
2008,1508308,1015,0,1013,0,816
2008,5206701,67,0,66,0,65
2008,5204102,60,0,60,0,60
2008,5214606,628,0,628,0,624
2008,5221858,757,0,756,0,752
2008,5105150,966,0,966,0,961
2008,5209804,28,0,28,0,28
2008,2111722,98,0,98,0,95
2008,2111029,55,0,55,0,48
2008,2107001,54,0,54,0,54
2008,3522208,3487,0,3487,0,3438
2008,5208103,55,0,55,0,55
2019,2609907,2316,2308,2316,387,2311
2019,2616001,161,160,161,15,160
2019,2610707,25,25,25,3,25
2019,2611507,16,15,16,5,15
2019,3518602,371,371,371,39,365
2018,3509403,468,468,468,150,468
2018,3531308,496,495,496,100,490
2018,3551702,2380,2380,2380,524,2366
2018,3510203,730,730,730,61,728
2018,3552700,138,132,138,19,137
2018,3505302,344,344,344,68,341
2018,3522208,3663,3659,3663,662,3632
2018,3519105,117,117,117,26,116
2018,3536703,367,367,367,80,366
2018,2911709,2387,2385,2387,655,2351
2016,3200607,1297,1297,1297,115,1293
2016,3101102,399,380,399,52,393
2016,1501303,1761,1527,1761,283,1665
2016,5222005,168,168,168,18,168
2016,5211008,96,94,96,19,94
2016,5210802,45,45,45,6,45
2016,5213087,469,469,469,75,469
2016,5219001,41,41,41,4,41
2016,5216809,65,65,65,9,61
2016,5203302,182,182,182,9,181
2016,3546603,586,586,586,113,584
2016,3132503,494,492,494,81,490
2010,2302008,106,0,106,0,105
2010,3202603,67,0,67,0,64
2010,2305001,396,72,396,10,393
2010,2310407,16,0,16,0,16
2010,2312007,259,46,259,11,256
2010,2312304,589,0,588,0,580
2010,3202454,371,0,371,0,371
2010,3203700,307,0,307,0,307
2019,3537800,530,529,530,98,527
2019,3524303,733,733,733,114,732
2019,3537305,1144,1144,1144,296,1142
2019,3509601,984,981,984,167,975
2019,3522307,2530,2527,2530,420,2521
2019,4103701,1196,1189,1196,85,1191
2012,3549706,890,447,890,117,884
2012,3141504,59,40,59,5,58
2012,3132107,241,240,241,33,238
2012,3111804,63,19,63,1,63
2012,3141405,324,305,324,85,319
2012,3136405,25,22,25,5,22
2012,3154606,1224,1186,1224,245,1198
2012,3137601,571,535,571,100,557
2012,3116605,310,308,310,53,308
2012,3143203,143,141,143,20,141
2012,5106505,294,286,294,49,294
2012,5107941,89,89,89,14,89
2012,5107305,277,276,277,9,275
2012,2922003,750,743,750,158,745
2012,5107701,108,106,108,20,107
2012,3117405,71,71,71,8,71
2012,3147600,197,183,197,35,195
2012,5004106,156,155,156,46,153
2012,5003306,549,546,549,91,548
2012,3519600,650,647,650,126,646
2012,3552304,89,83,89,9,89
2012,3504206,322,319,322,89,321
2020,1503903,1040,1032,1040,229,1017
2020,2600104,2519,2511,2519,414,2515
2020,2500403,23,21,23,12,22
2020,2616407,4047,4046,4047,890,4016
2011,2917102,224,173,224,40,217
2011,2933604,953,838,953,165,900
2011,3536505,664,13,664,3,656
2011,2906709,200,187,200,31,197
2011,2918803,129,62,129,11,121
2011,2917508,2371,1995,2371,446,2309
2011,2929503,224,180,224,35,210
2011,2931608,136,100,136,22,125
2011,2933158,57,51,57,8,57
2011,2910057,709,563,709,99,664
2011,2932804,81,74,81,17,78
2011,2915700,99,89,99,26,92
2011,2609808,100,96,100,19,97
2011,2607703,323,322,323,56,323
2011,2927309,63,61,63,8,61
2010,5202353,33,0,33,0,33
2010,2101707,1075,5,1075,0,1035
2010,5217104,201,0,201,0,197
2010,5204102,45,0,45,0,45
2010,5211503,1356,0,1356,0,1338
2010,5211404,40,0,40,0,40
2010,5205455,72,0,72,0,72
2010,2112803,1118,0,1118,0,1087
2010,2102606,240,6,240,3,225
2010,5216809,125,0,124,0,117
2010,1501709,3463,169,3450,24,3333
2010,2108801,345,0,345,0,339
2010,5205208,16,0,16,0,16
2010,2108058,214,2,213,0,191
2010,2105153,258,0,258,0,257
2010,5210000,741,0,741,0,739
2010,2111250,37,0,37,0,35
2010,5203500,182,0,182,0,178
2010,2111003,282,1,280,0,273
2020,3305505,2247,2242,2247,499,2234
2020,3302700,1116,941,1116,166,1112
2020,3305901,81,0,81,0,79
2020,3507605,3582,3582,3582,870,3561
2021,2610905,451,451,451,72,448
2021,2611309,32,32,32,5,26
2021,2600302,443,404,443,72,442
2021,2605707,405,403,405,43,397
2021,2511301,143,138,143,18,122
2021,2507705,25,24,25,8,22
2021,2607703,119,119,119,15,119
2021,2600906,29,26,29,3,25
2021,2611804,55,49,55,12,52
2022,3557006,1083,1083,1083,158,1078
2022,3510609,3628,3627,3628,877,3504
2022,3513405,1026,1025,1026,166,1013
2022,3547809,6340,6340,6340,1354,6309
2022,3550407,375,372,375,59,374
2022,3550704,949,931,949,151,943
2022,3524303,639,639,639,124,639
2022,3553708,490,485,490,157,483
2022,3517406,375,375,375,182,374
2022,3536307,189,188,189,26,187
2022,3546801,591,587,591,94,559
2022,3511409,151,150,151,18,149
2022,3532900,49,46,49,20,48
2020,1716208,209,209,209,29,205
2020,3536208,1778,1772,1778,427,1775
2020,3553708,563,559,563,195,557
2020,3528809,86,86,86,20,86
2020,3535309,197,196,197,44,196
2020,3523206,595,595,595,86,595
2020,3533007,70,70,70,22,69
2020,3553302,225,225,225,38,225
2020,1705508,44,44,44,13,42
2020,3115102,451,451,451,72,449
2020,3170107,4988,4988,4988,1274,4950
2020,3128709,678,678,678,152,675
2021,3524402,2471,2460,2471,582,2448
2021,3525904,9190,9189,9190,2225,9186
2021,3518602,298,297,298,35,296
2021,3522703,287,287,287,72,287
2021,3553807,459,459,459,83,459
2021,3527306,361,360,361,58,358
2021,3535507,385,385,385,60,385
2021,3537404,152,152,152,26,152
2021,3506003,5389,5377,5389,1225,5344
2011,5107008,187,179,187,43,181
2011,3152501,3072,1821,3072,437,3043
2011,3141108,257,141,257,22,246
2011,3552106,308,0,308,0,305
2011,3504206,287,38,287,4,287
2011,3165305,63,11,63,0,63
2011,3110608,276,94,276,9,264
2011,3106507,131,40,131,5,130
2011,3169406,838,491,838,146,834
2011,3142205,137,18,137,4,134
2011,3149804,109,59,109,8,108
2011,5007976,32,0,32,0,32
2011,5004403,111,32,111,9,109
2011,5004007,75,0,75,0,75
2011,3152600,76,42,76,6,75
2011,3110707,146,92,146,14,142
2011,3162906,335,121,335,29,323
2019,4102901,218,218,218,54,217
2019,4104600,102,102,102,11,102
2019,4102109,394,394,394,29,394
2019,4106605,119,119,119,18,119
2019,4127965,28,28,28,4,28
2019,4119202,220,220,220,28,219
2019,4125001,79,79,79,4,79
2019,4123907,249,249,249,25,241
2019,4127502,19,19,19,3,14
2019,4200101,165,165,165,13,165
2019,4312708,306,306,306,46,306
2018,1502103,2862,2808,2862,644,2823
2018,1502905,109,103,109,17,102
2018,1503093,487,482,487,64,486
2018,2504801,103,103,103,11,103
2018,1505486,543,543,543,58,538
2018,1501725,305,302,305,56,301
2018,1501956,36,31,36,11,26
2017,1400159,98,98,98,23,91
2017,1400456,115,115,115,37,111
2017,1400472,776,776,776,146,772
2008,4112207,86,0,86,0,86
2008,4117107,105,0,105,0,105
2008,4125001,78,0,78,0,77
2008,4127908,59,0,59,0,59
2008,4108320,41,0,41,0,41
2008,4106803,232,0,232,0,231
2008,4111209,24,0,24,0,24
2008,4118709,69,0,69,0,69
2008,4105003,97,0,97,0,96
2008,3514502,239,0,239,0,239
2008,3523206,773,0,773,0,770
2008,3504008,1928,0,1928,0,1915
2008,3542602,1337,0,1337,0,1328
2013,3154101,106,68,106,12,102
