ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2013,5100250,1069,1052,1069,231,1053
2013,2403251,2908,2717,2908,618,2792
2020,2801306,294,287,294,45,292
2020,2402600,1598,1598,1598,205,1584
2016,1200351,219,154,219,40,170
2016,1200427,46,45,46,9,29
2016,1721000,7184,7180,7184,1536,7144
2017,1505809,1407,844,1407,137,884
2017,3550308,189740,189677,189740,37683,188220
2013,5103858,67,66,67,9,65
2013,5106257,265,264,265,65,259
2013,1100130,467,417,467,78,460
2013,4127700,2588,2587,2588,680,2583
2013,5105002,48,33,48,3,47
2013,1100031,65,64,65,13,62
2013,5002951,310,310,310,60,308
2017,2805802,46,46,46,13,46
2017,3506102,1295,1295,1295,182,1289
2010,2704500,275,57,270,5,260
2010,2933307,7708,2,7706,0,7542
2010,1506138,1977,233,1977,50,1949
2010,2104107,217,0,217,0,217
2010,1501402,29871,7,29866,1,29345
2012,5203807,59,50,59,11,56
2012,5205455,101,100,101,15,100
2012,5201702,242,237,242,51,233
2012,5212808,94,90,94,18,91
2012,5220454,1358,1318,1358,202,1351
2012,5200852,60,59,60,19,59
2011,5220603,291,183,291,14,288
2011,3205309,13583,13036,13583,2376,13445
2011,5222054,94,59,94,6,94
2011,3204708,329,260,329,30,329
2011,5211701,45,34,45,7,45
2011,3543402,11795,3738,11795,895,11692
2011,5219308,416,258,416,38,416
2011,5209705,37,23,37,5,33
2011,3127701,5553,1153,5553,173,5500
2011,5211206,405,199,405,30,398
2011,3200169,32,30,32,7,32
2011,5219803,131,80,131,9,128
2011,5208905,177,95,177,12,171
2011,3161106,869,523,869,89,861
2011,3160405,290,187,290,70,289
2016,2211308,960,960,960,132,958
2016,2202604,277,275,277,48,276
2016,2207900,401,398,401,48,388
2016,2208502,57,55,57,10,54
2016,2609907,2539,2521,2539,451,2522
2011,4202404,5212,2963,5212,678,5167
2011,4206603,49,0,49,0,48
2011,2802106,3722,3639,3722,658,3676
2011,4104006,1259,0,1259,0,1247
2011,3522109,1581,903,1581,170,1556
2011,4214508,110,0,110,0,110
2011,4204905,69,0,69,0,69
2011,2900702,2812,2368,2812,479,2723
2011,4108502,133,0,133,0,133
2011,4219606,21,16,21,4,21
2019,1100122,2409,2124,2409,356,2388
2019,1101500,72,63,72,10,72
2019,1100114,937,933,937,108,936
2019,1101492,420,414,420,62,418
2020,1400407,301,301,301,90,291
2020,2411205,2668,2666,2668,494,2662
2020,2414407,32,32,32,8,30
2016,4205902,584,584,584,53,582
2016,4201406,1574,1574,1574,361,1573
2016,2805802,33,32,33,4,31
2016,4104006,1840,1837,1840,390,1829
2016,4314407,5326,4980,5326,1290,4600
2012,3304144,2547,2433,2547,185,2509
2012,3304607,107,88,107,14,103
2012,4128104,2867,2867,2867,669,2863
2012,3200102,470,470,470,92,466
2018,1304203,1966,1946,1966,424,1924
2018,2600500,303,297,303,41,295
2015,2804508,1174,1173,1174,117,1171
2015,2928703,3484,3403,3484,553,3411
2021,2704005,75,75,75,7,75
2021,2100709,44,40,44,7,37
2021,2107456,210,207,210,32,209
2021,2103604,1186,1178,1186,276,1182
2011,4122206,247,0,247,0,241
2011,4105409,402,0,402,0,401
2011,4113502,491,0,491,0,489
2011,4111308,37,0,37,0,37
2011,4116901,217,0,217,0,217
2011,4112009,643,0,643,0,635
2011,4117107,145,0,145,0,145
2011,4127957,41,0,41,0,41
2011,4122503,21,0,21,0,21
2021,3300258,288,287,288,50,285
2021,3302858,6177,6176,6177,804,5982
2021,3305000,316,311,316,18,314
2015,1304062,1732,1705,1732,421,1617
2015,2706307,2938,2720,2937,572,2908
2015,2702405,876,789,876,128,857
2015,1300201,362,361,362,99,358
2015,1302108,132,130,132,26,128
2015,1600279,1282,1281,1282,305,1280
2015,2601409,71,63,71,10,63
2015,3104304,68,64,68,13,68
2013,3536307,239,224,239,44,228
2013,3518404,1593,1578,1593,392,1582
2013,3533908,894,593,894,89,889
2013,3534708,1717,824,1717,170,1712
2013,3530607,7824,7064,7824,1869,7666
2013,3550605,2352,2333,2352,452,2322
2013,3502200,300,297,300,63,299
2013,3549706,990,989,990,242,983
2013,3517406,445,445,445,170,445
2013,3552700,161,161,161,25,161
2013,2916401,1245,1205,1245,242,1219
2013,2308500,315,303,315,49,312
2020,5108402,1170,1018,1170,189,1102
2020,5107909,3440,3436,3440,802,3421
2020,5002100,353,353,353,40,347
2020,3541505,462,462,462,53,460
2020,5103601,32,32,32,8,32
2020,5100300,77,77,77,17,75
2020,5002951,433,432,433,73,432
2020,5004007,61,61,61,8,61
2020,4115200,8609,8589,8609,1986,8578
2022,5006358,262,262,262,85,254
2022,5005707,814,814,814,131,809
2022,5000856,96,96,96,28,96
2022,5107040,1742,1742,1742,421,1708
2022,5100805,101,101,101,17,99
2022,5003801,227,227,227,40,226
2022,5003488,72,72,72,18,69
2022,2702355,64,64,64,9,63
2012,1500206,552,195,552,37,534
2012,1500305,333,216,333,46,320
2012,2502409,42,0,42,0,42
2012,1503002,133,100,133,16,118
2012,1503705,776,752,776,163,755
2012,1506187,812,812,812,145,807
2012,1501006,124,123,124,27,121
2012,1503101,512,360,512,73,406
2012,1505809,1109,747,1109,161,794
2012,2511202,157,150,157,30,156
2012,2516003,540,518,540,104,536
2012,2615904,342,337,342,68,340
2012,5105606,149,104,149,14,144
2012,2614204,298,297,298,53,295
2012,2308104,520,499,520,76,516
2021,1508308,651,579,651,159,613
2021,5103403,14553,14533,14553,3331,14505
2021,5107859,255,254,255,49,252
2021,1504208,6041,6029,6041,1497,6003
2021,5105150,1059,1058,1059,370,1057
2021,5106281,76,75,76,5,76
2021,5107305,202,202,202,19,201
2021,1505650,255,255,255,52,255
2012,2208304,411,407,411,68,409
2012,4127205,145,144,145,22,144
2012,4121901,136,136,136,19,135
2012,2211100,405,372,405,62,386
2012,4124608,21,17,21,1,21
2012,3502101,965,915,965,140,965
2012,2112506,932,932,932,211,927
2012,4112959,59,59,59,7,55
2012,4107504,217,217,217,44,217
2012,4127304,253,253,253,51,252
2012,4124905,24,23,24,4,24
2012,4116109,86,86,86,10,86
2012,4105300,15,15,15,6,15
2012,2103406,1049,1026,1049,175,1039
2012,4317905,209,209,209,43,208
2019,2303709,3565,3467,3565,374,3495
2019,2311801,1073,1070,1073,148,1070
2019,2400505,1137,1078,1137,77,1133
2019,5217609,1136,1135,1136,175,1127
2019,2305209,163,157,163,22,161
2019,2303659,40,40,40,7,40
2019,2310258,56,51,56,13,49
2019,2302305,139,139,139,24,139
2019,2502409,18,18,18,6,18
2019,2903904,1466,1431,1466,221,1452
2019,5101704,631,631,631,96,628
2019,1501725,293,292,293,56,291
2020,4203907,335,335,335,61,329
2020,4318408,1082,1082,1082,255,1076
2020,4319505,61,61,61,6,60
2020,4316105,68,68,68,9,67
2020,4313300,444,444,444,105,444
2020,4312658,274,274,274,55,272
2020,4214904,87,87,87,6,87
2020,4204707,99,98,99,21,97
2020,4309308,144,143,144,30,142
2020,2917003,322,309,322,28,318
2010,2202307,274,0,273,0,272
2010,2207603,129,2,129,1,127
2010,2208106,28,0,27,0,24
2010,2210706,246,0,246,0,243
2010,2211308,852,0,852,0,852
2010,2602100,519,19,519,3,508
2010,2603702,168,11,162,1,159
2010,2604304,102,0,102,0,101
