"","id_municipio","ano","open"
"233",2703403,2008,1
"234",2703403,2012,0
"235",2703403,2016,1
"236",2703403,2020,0
"237",2703502,2008,0
"238",2703502,2012,1
"239",2703502,2016,0
"240",2703502,2020,0
"241",2703601,2008,0
"242",2703601,2012,1
"243",2703601,2016,0
"244",2703601,2020,0
"245",2703700,2008,0
"246",2703700,2012,1
"247",2703700,2016,0
"248",2703700,2020,0
"249",2703759,2008,1
"250",2703759,2012,0
"251",2703759,2016,1
"252",2703759,2020,0
"253",2703809,2008,0
"254",2703809,2012,1
"255",2703809,2016,1
"256",2703809,2020,0
"257",2703908,2008,0
"258",2703908,2012,1
"259",2703908,2016,0
"260",2703908,2020,1
"261",2704005,2008,0
"262",2704005,2012,0
"263",2704005,2016,1
"264",2704005,2020,0
"265",2704104,2008,0
"266",2704104,2012,1
"267",2704104,2016,1
"268",2704104,2020,0
"269",2704203,2008,1
"270",2704203,2012,0
"271",2704203,2016,1
"272",2704203,2020,0
"273",2704302,2008,1
"274",2704302,2012,1
"275",2704302,2016,1
"276",2704302,2020,1
"277",2704401,2008,1
"278",2704401,2012,0
"279",2704401,2016,0
"280",2704401,2020,1
"281",2704500,2008,0
"282",2704500,2012,1
"283",2704500,2016,1
"284",2704500,2020,0
"285",2704609,2008,1
"286",2704609,2012,0
"287",2704609,2016,0
"288",2704609,2020,0
"289",2704708,2008,1
"290",2704708,2012,0
"291",2704708,2016,1
"292",2704708,2020,0
"293",2704807,2008,1
"294",2704807,2012,1
"295",2704807,2016,1
"296",2704807,2020,1
"297",2704906,2008,0
"298",2704906,2012,0
"299",2704906,2016,0
"300",2704906,2020,1
"301",2705002,2008,0
"302",2705002,2012,0
"303",2705002,2016,1
"304",2705002,2020,0
"305",2705101,2008,1
"306",2705101,2012,1
"307",2705101,2016,0
"308",2705101,2020,1
"309",2705200,2008,1
"310",2705200,2012,1
"311",2705200,2016,0
"312",2705200,2020,1
"313",2705309,2008,1
"314",2705309,2012,0
"315",2705309,2016,1
"316",2705309,2020,1
"317",2705408,2008,1
"318",2705408,2012,1
"319",2705408,2016,0
"320",2705408,2020,0
"321",2705507,2008,0
"322",2705507,2012,1
"323",2705507,2016,1
"324",2705507,2020,0
"325",2705606,2008,1
"326",2705606,2012,0
"327",2705606,2016,1
"328",2705606,2020,1
"329",2705705,2008,0
"330",2705705,2012,1
"331",2705705,2016,1
"332",2705705,2020,0
"333",2705804,2008,0
"334",2705804,2012,0
"335",2705804,2016,1
"336",2705804,2020,0
"337",2705903,2008,0
"338",2705903,2012,0
"339",2705903,2016,0
"340",2705903,2020,0
"341",2706000,2008,0
"342",2706000,2012,0
"343",2706000,2016,1
"344",2706000,2020,1
"345",2706109,2008,1
"346",2706109,2012,0
"347",2706109,2016,1
"348",2706109,2020,1
"349",2706208,2008,0
"350",2706208,2012,1
"351",2706208,2016,1
"352",2706208,2020,1
"353",2706307,2008,1
"354",2706307,2012,0
"355",2706307,2016,1
"356",2706307,2020,0
"357",2706406,2008,0
"358",2706406,2012,1
"359",2706406,2016,1
"360",2706406,2020,1
"361",2706422,2008,0
"362",2706422,2012,1
"363",2706422,2016,0
"364",2706422,2020,1
"365",2706448,2008,1
"366",2706448,2012,1
"367",2706448,2016,1
"368",2706448,2020,1
"369",2706505,2008,0
"370",2706505,2012,0
"371",2706505,2016,0
"372",2706505,2020,0
"373",2706604,2008,0
"374",2706604,2012,1
"375",2706604,2016,1
"376",2706604,2020,0
"377",2706703,2008,0
"378",2706703,2012,1
"379",2706703,2016,0
"380",2706703,2020,1
