"","id_municipio","ano","share_feminino","share_esquerda"
"1",1200013,2008,0.168250419228619,0.275945593441401
"2",1200013,2012,0.335316111488783,0.295547246770904
"3",1200013,2016,0.317679087970053,0.374000340309682
"4",1200013,2020,0.160405300077942,0.177708495713172
"5",1200054,2008,0.22,0.560338983050848
"6",1200054,2012,0.169245647969052,0.515473887814313
"7",1200054,2016,0.263468239077995,0.491825247922809
"8",1200054,2020,0.430592827518907,0.333983898511832
"9",1200104,2008,0.292493352423809,0.475557373696052
"10",1200104,2012,0.136567553468962,0.452164840897235
"11",1200104,2016,0.149034814127961,0.403270673522718
"12",1200104,2020,0.287448700410397,0.325581395348837
"13",1200138,2008,0.125373946151754,0.387816154473756
"14",1200138,2012,0.208912314326785,0.401054144705319
"15",1200138,2016,0.186650915534554,0.495569994093325
"16",1200138,2020,0.478381919423518,0.293973141172617
"17",1200179,2008,0.166520339479075,0.47380743342113
"18",1200179,2012,0.259981851179673,0.350725952813067
"19",1200179,2016,0.219806285827239,0.428938525400277
"20",1200179,2020,0.28288119738073,0.308325537885875
"21",1200203,2008,0.119771099658657,0.248912388729001
"22",1200203,2012,0.156908501967887,0.194246107763575
"23",1200203,2016,0.387925425071435,0.255665261549778
"24",1200203,2020,0.478352093206951,0.187105055292259
"25",1200252,2008,0.247687205445977,0.49991272473381
"26",1200252,2012,0.160571525769689,0.405851335261099
"27",1200252,2016,0.362056886647051,0.368782401569287
"28",1200252,2020,0.282746389663035,0.371801368127692
"29",1200302,2008,0.218365180467091,0.466985138004246
"30",1200302,2012,0.14591381872214,0.343239227340267
"31",1200302,2016,0.0321514907332796,0.17276390008058
"32",1200302,2020,0.258163187275369,0.417450485585379
"33",1200328,2008,0.330455635491607,0.573621103117506
"34",1200328,2012,0.269211700545364,0.47397124442241
"35",1200328,2016,0.22401927047488,0.588437715072264
"36",1200328,2020,0.336302211302211,0.701474201474201
"37",1200336,2008,0.167296010507306,0.261205056640946
"38",1200336,2012,0.202434836897144,0.447635398782582
"39",1200336,2016,0.377095692545783,0.355171524374516
"40",1200336,2020,0.514420910319964,0.324583145561064
"41",1200344,2008,0.481767180925666,0.301542776998597
"42",1200344,2012,0.124677002583979,0.397286821705426
"43",1200344,2016,0.283426537874936,0.412302999491612
"44",1200344,2020,0.369104579630895,0.293688767372978
"45",1200351,2008,0.147777777777778,0.410444444444444
"46",1200351,2012,0.220747074707471,0.348334833483348
"47",1200351,2016,0.44371546961326,0.439226519337017
"48",1200351,2020,0.539677666922487,0.479969301611665
"49",1200385,2008,0.132954692138892,0.333677552601007
"50",1200385,2012,0.260786877451563,0.428622370141448
"51",1200385,2016,0.284477784189267,0.473283323716099
"52",1200385,2020,0.420955670696603,0.264133563615429
"53",1200393,2008,0.129708599857854,0.565742714996446
"54",1200393,2012,0.134872824631861,0.332998661311914
"55",1200393,2016,0.45240032546786,0.414429075128831
"56",1200393,2020,0.655098133078028,0.207754906653901
"57",1200401,2008,0.176259602349751,0.43206337550836
"58",1200401,2012,0.201475734650816,0.351139931038032
"59",1200401,2016,0.159889955397754,0.407595062327366
"60",1200401,2020,0.345214603528159,0.265055225470214
"61",1200427,2008,0.129822280017339,0.326831382748158
"62",1200427,2012,0.134331259720062,0.401244167962675
"63",1200427,2016,0.311987104337632,0.566529894490035
"64",1200427,2020,0.457957183389218,0.241294815579056
"65",1200435,2008,0.284190106692532,0.638215324927255
"66",1200435,2012,0.0858505564387917,0.276629570747218
"67",1200435,2016,0.204220980757294,0.592799503414029
"68",1200435,2020,0.354791868344627,0.270087124878993
"69",1200450,2008,0.189543179640081,0.321052071131935
"70",1200450,2012,0.528115363685833,0.26573553419191
"71",1200450,2016,0.31831678968355,0.294476966149147
"72",1200450,2020,0.485932507209103,0.228041462084015
"73",1200500,2008,0.455071050431875,0.117442184452494
"74",1200500,2012,0.120666102907695,0.425876536785273
"75",1200500,2016,0.100890207715134,0.292837609821377
"76",1200500,2020,0.349175661887117,0.192900488695559
"77",1200609,2008,0.33743517623275,0.493891183967654
"78",1200609,2012,0.252384569933316,0.439604963281844
"79",1200609,2016,0.1573220597408,0.604892923972555
"80",1200609,2020,0.295578551269991,0.649357165255566
"81",1200708,2008,0.0589983652845891,0.574528161688215
"82",1200708,2012,0.218467812408972,0.463006117098747
"83",1200708,2016,0.178676564699859,0.505567643670805
"84",1200708,2020,0.407908799429996,0.39365871036694
"85",1200807,2008,0.124605970702763,0.313183756721676
"86",1200807,2012,0.128931245745405,0.248876786929884
"87",1200807,2016,0.234520411961782,0.352401042312942
"88",1200807,2020,0.342131979695431,0.325437112239143
"89",2700102,2008,0.0502740052418394,0.564927329044556
"90",2700102,2012,0.02056585829767,0.171184022824536
"91",2700102,2016,0.00923007654209815,0.332507879333634
"92",2700102,2020,0.0340786927542464,0.0920232208127284
"93",2700201,2008,0.0633010724561862,0.249019094951609
"94",2700201,2012,0.127939418094859,0.239006244187591
"95",2700201,2016,0.0543179737564846,0.0387549588037839
"96",2700201,2020,0.0793975727445533,0.106155870741336
"97",2700300,2008,0.0292054978209856,0.122695273214884
"98",2700300,2012,0.738266919671094,0.0823644413777241
"99",2700300,2016,0.010414788097385,0.154328223624887
"100",2700300,2020,0.0963272676462053,0.227146189150553
"101",2700409,2008,0.0126809496236248,0.0584250144759699
"102",2700409,2012,0.0505627230304694,0.0482569311007411
"103",2700409,2016,0.0426677473513576,0.0519886528107451
"104",2700409,2020,0.139939203242494,0.247986774038718
"105",2700508,2008,0.0635769459298871,0.253119429590018
"106",2700508,2012,0.156356736242884,0.13719165085389
