"","id_municipio","ano","sequencial","state","context_evento"
"28",1716703,2020,270000880675,"TO","que movimenta a economia e promove o lazer a futura gestao sera parceira do sindicato rural na realizacao anual deste evento assistencia social atencao especial aos orgaos de seguranca conselhos e aos departamentos municipais no trato com o menor o vulneravel"
"29",2104305,2016,100000016562,"MA","que esteja de folga para que torne legitimo o testemunho de qualquer problema que podera acontecer durante a realizacao do evento criar concurso de descoberta de talentos esporte reforma de nossos campos de futebol construindo vestiarios banheiros e arquibancadas alem de"
"30",2105427,2012,100000017298,"MA","novos centros de educacao infantil e da reforma e ampliacao das unidades consideradas prioritarias olimpiadas do saber trata se de evento que sera realizado de ano em ano envolvendo todos os alunos e professores das escolas municipais em uma competicao intelectual"
"31",2105450,2016,100000005634,"MA","de material esportivo para incentivar o esporte amador sempre no inicio dos campeonatos municipais das mais diversas modalidades criar o evento trilha da amizade com vistas a incentiva o desbravamento da zona rural do municipio atraves do motociclismo carros utv s"
"32",2105450,2016,100000005634,"MA","e de todo brasil porque sera uma das maiores festas juninas da regiao com apresentacao cultural como marco principal do evento nao esquecendo das bandas regionais e ate de nomes nacionais tendo como novidade a casa do forro arquibancadas tendas eletronicas"
"33",2105450,2016,100000005634,"MA","a todos oportunidade de mostrarem seus potenciais artisticos realizacao do arraia de todos itinerante em todos os povoados antes do evento principal na sede do municipio como apresentacao de grupos folcloricos e show de artistas local garantir tratamento preferencial a todos"
"34",2105609,2012,100000003835,"MA","novos centros de educacao infantil e da reforma e ampliacao das unidades consideradas prioritarias olimpiadas do conhecimento trata se de evento que sera realizado de dois em dois anos envolvendo todos os alunos e professores das escolas municipais em uma competicao"
"35",2109056,2012,100000014240,"MA","de fora realizacao das feiras e valorizando o comercio a industria as agroindistrias a agricultura e dando destaque regional ao evento outras acoes criagao de guarda municipal monitoraceo na saida das escolas predios publicos locais de uso comum visando garantir a"
"36",2109452,2012,100000011165,"MA","considerado de excelencia de acordo com o ideb indice de desenvolvimento da educacao basica olimpiadas do saber trata se de evento que sera realizado anualmente envolvendo todos os alunos e professores das escolas municipais em uma competicao intelectual estimulante e saudavel"
"37",2110237,2012,100000003723,"MA","anual de eventos que fortaleca as festas tradicionais da cidade e a criacao de novas festividades e definir um grande evento anual que possa projetar santana do maranhao em nivel estadual e nacional e quica internacionalmente esporte e lazer a pratica"
"38",2111722,2016,100000005497,"MA","planejamento da administracao publica a longo prazo iii planejar e promover eventos socioeconomicos com as entidades empresariais iv promover um evento de grande porte anual do comercio e servicos v apoiar incubadora de empresa para permitir que iniciativas empreendedoras populares com"
"39",2201507,2012,180000001764,"PI","area industrial realizacao da expo batalha valorizando o comercio a industria as agroindustrias a agricultura e dando destaque regional ao evento outras acoes valorizacao do servidor publico municipal criacao do conselho municipal de administracao sugestoes das comunidades construcao de chafariz e"
"40",2202752,2020,180001020312,"PI","no municipio de colonia do gurgueia como festejos semana cultural aniversario da cidade vaquejadas e festa do vaqueiro semana cultural evento organizado pela prefeitura municipal e que contara com apresentacoes musicais palestras oficinas contacao de historia shows culturais entre outros vamos"
