"","id_municipio","ano","saude","saneamento","turismo","comercio","agro","gastos"
"75",1200500,2016,40273359.04,10658.74,NA,NA,1653308.52,284689537.41
"76",1200500,2020,74931877.7,NA,NA,NA,9270872.36,568549273.74
"77",1200609,2008,15801052.3,0,0,0,772390.61,168830743.48
"78",1200609,2012,21236743.96,NA,NA,NA,3338851.48,188622622.23
"79",1200609,2016,26897962,NA,NA,NA,3145627.76,231060811.83
"80",1200609,2020,55444365.4,NA,NA,NA,1626987.87,427069384.95
"81",1200708,2008,7062690.68,0,6642.57,6642.57,1935226.54,67286537.16
"82",1200708,2012,10174800.88,NA,NA,NA,1805947.02,80119048.23
"83",1200708,2016,18780665.68,NA,NA,NA,1574427.32,116710355.22
"84",1200708,2020,35234473.82,87316.8,NA,NA,2693043.16,190451147.79
"85",1200807,2008,7153622.22,0,3892,3892,2317674.14,71051964.12
"86",1200807,2012,11561184.24,NA,NA,NA,478651.22,68795453.58
"87",1200807,2016,16196740.04,NA,NA,NA,2029670.2,108986393.79
"88",1200807,2020,28731831.28,NA,NA,NA,NA,199501719.33
"89",2700102,2008,11095408.02,0,0,0,0,117776397.28
"90",2700102,2012,12607826.84,NA,NA,NA,1742370.34,111962476.17
"91",2700102,2016,19854628.62,NA,NA,NA,1079925.14,152137046.49
"92",2700102,2020,44110651.3,6113528,2650000,2650000,2491122.85,403196710.71
"93",2700201,2008,9592569.16,0,0,0,4625859.7,91420035.48
"94",2700201,2012,17706823.44,NA,NA,33734.29,2347484.9,100656695.79
"95",2700201,2016,21868190.46,NA,NA,NA,131239.9,143400877.14
"96",2700201,2020,32990755.06,NA,NA,NA,2214893.53,289612845.69
"97",2700300,2008,250250623.24,14558608.02,0,32715.28,4387410.1,1331099521.24
"98",2700300,2012,409568581.7,35323032.88,NA,392037.34,10164431.18,1696558603.83
"99",2700300,2016,486402606.54,8426000,54500,9907305.3,7163689.41,1871517423.29
"100",2700300,2020,633564292.34,2208312.2,102440,4033896.93,10187722.99,2956030474.37
"101",2700409,2008,25946668.84,0,0,0,1199619.3,267293565.2
"102",2700409,2012,41646864.5,NA,NA,NA,328889.98,271808817.16
"103",2700409,2016,NA,NA,NA,NA,NA,394528402.68
"104",2700409,2020,68894728.13,NA,NA,NA,228895.37,716414305.39
"105",2700508,2008,9079970.76,2719197.46,0,0,145128.5,101790633.32
"106",2700508,2012,13767777.88,161130,NA,NA,25567.78,101997886.11
"107",2700508,2016,16788380.04,6337872.86,NA,NA,5520.92,139560435.12
"108",2700508,2020,35530085.42,741851.06,NA,NA,167130,315898690.17
"109",2700607,2008,6108344.4,15783990.28,0,0,0,106334095.72
"110",2700607,2012,10625996.38,NA,689259.92,689259.92,NA,90698451.75
"111",2700607,2016,12051589.56,2250553.36,2860292.42,2860292.42,NA,121294324.98
"112",2700607,2020,30135649.22,NA,4924231.32,4924231.32,NA,276473070.54
"113",2700706,2008,12958733.58,4062567.38,0,0,1740398.04,108773270.04
"114",2700706,2012,20025110.42,NA,NA,NA,1169358.84,119618607.42
"115",2700706,2016,23748322.04,NA,NA,NA,727653.93,176599358.19
"116",2700706,2020,NA,NA,NA,NA,NA,NA
"117",2700805,2008,4878045.9,0,0,0,93188.46,48983288.08
"118",2700805,2012,NA,NA,NA,NA,NA,NA
"119",2700805,2016,8974253.17,NA,NA,NA,99470.44,80546818.02
"120",2700805,2020,11613214.36,NA,NA,NA,1340311.55,132631314.48
"121",2700904,2008,5023097.7,0,0,0,406341.03,55218335.12
"122",2700904,2012,6223690.46,NA,NA,NA,2551724.94,56078647.31
"123",2700904,2016,7470464.64,NA,NA,NA,735530.03,76096078.38
"124",2700904,2020,13962360.83,NA,NA,2029031.72,2932700.09,201574839.81
"125",2701001,2008,18306525.46,2296932.68,0,0,617342.07,167535262.68
"126",2701001,2012,27947370.48,3634580.52,NA,23037.9,2437113.2,196564891.35
"127",2701001,2016,29444711.21,3099084.04,NA,23709.44,1884732.32,243285837.3
"128",2701001,2020,54463980.82,3580662.14,NA,26573.12,3373175.98,475685469.39
"129",2701100,2008,6896992.76,871419.84,0,0,246552.7,81320150.32
"130",2701100,2012,11851006.58,1032556.66,NA,NA,699204.44,97607180.94
"131",2701100,2016,11969307.91,811968,NA,NA,450,114855582.39
"132",2701100,2020,26852579,NA,NA,NA,915293.3,282167814.21
"133",2701209,2008,8135086.3,8700,0,0,1594068.29,64888418.04
"134",2701209,2012,10807440.86,49258.46,NA,NA,2660171.58,83415545.91
"135",2701209,2016,12522122.71,NA,NA,NA,308680.8,110890934.67
"136",2701209,2020,20388198.96,NA,NA,NA,1084398.28,261223616.37
"137",2701308,2008,NA,NA,NA,NA,NA,NA
"138",2701308,2012,23757262.2,990508.2,NA,NA,106232.66,161625849.9
"139",2701308,2016,25393283.12,5180833.86,NA,NA,189600.5,195932867.17
"140",2701308,2020,NA,NA,NA,NA,NA,NA
"141",2701357,2008,4144383.68,129909.86,0,0,60207.68,52678787.76
"142",2701357,2012,3888902.48,13280,NA,NA,NA,53643619.92
"143",2701357,2016,5932228.09,NA,NA,NA,92675.65,66479905.02
"144",2701357,2020,NA,NA,NA,NA,NA,NA
"145",2701407,2008,18843490.08,477242.76,0,196443.2,601220.97,201525875.4
"146",2701407,2012,39389029.68,2659151.82,NA,NA,2471549.14,272348544.81
"147",2701407,2016,60169287.5,6466117.46,NA,NA,99000,414278740.68
"148",2701407,2020,86504226.04,983296.32,NA,NA,212000,740958845.78
"149",2701506,2008,6984709.34,70000,0,0,222391.66,74214038.96
"150",2701506,2012,NA,NA,NA,NA,NA,NA
"151",2701506,2016,8732144.74,NA,NA,NA,151688.28,92662971.3
"152",2701506,2020,NA,NA,NA,NA,NA,NA
"153",2701605,2008,9471778.62,950919.36,0,0,0,122149168.68
"154",2701605,2012,11164534.96,NA,NA,642.01,747539.4,144374200.02
"155",2701605,2016,20810023.95,1018641.4,NA,NA,1393898.56,190047295.2
"156",2701605,2020,40114374,1240619.48,NA,NA,5094737.85,371870461.81
"157",2701704,2008,14697381.5,137247.78,0,0,414079.32,123683515.96
"158",2701704,2012,22155351.12,NA,NA,NA,1554941.78,132593159.94
"159",2701704,2016,33059493.8,104871.6,NA,NA,903134.95,179648896.68
"160",2701704,2020,50777384.96,4212,NA,NA,5197350.55,296479047.24
"161",2701803,2008,NA,NA,NA,NA,NA,NA
"162",2701803,2012,6366603.9,NA,NA,NA,NA,58234578.6
"163",2701803,2016,8595329.84,NA,NA,NA,349018,124318662
"164",2701803,2020,17076193.8,NA,NA,NA,1728406.52,209965442.64
"165",2701902,2008,5884430.76,0,0,0,1307692.29,56509398.36
"166",2701902,2012,6812895.14,NA,NA,NA,823023.1,55365769.5
"167",2701902,2016,9361248.48,NA,NA,NA,555337.11,80434041.18
"168",2701902,2020,19026748.24,NA,NA,NA,784157.11,144674477.18
"169",2702009,2008,6919361.56,0,0,0,1109175.06,70612111.44
"170",2702009,2012,9608296.84,NA,NA,NA,3359130.76,75556328.86
"171",2702009,2016,14871516.42,NA,NA,NA,2222740.07,110083376.13
"172",2702009,2020,22010366.72,391558.82,NA,NA,3286544.37,212045637.93
"173",2702108,2008,14153006.98,742720,0,0,620231.35,140552255.28
"174",2702108,2012,18695847.24,NA,NA,NA,1894927.9,131210087.02
"175",2702108,2016,29456884.22,11206,NA,NA,1086500.58,192268679.34
"176",2702108,2020,NA,NA,NA,NA,NA,NA
"177",2702207,2008,3907113.14,0,0,0,0,49098028.64
"178",2702207,2012,5722338.82,NA,NA,NA,8666.32,46606246.53
"179",2702207,2016,8036430.6,NA,NA,NA,265026.36,93309668.52
"180",2702207,2020,13776090.02,NA,NA,103272,162059.99,138664760.85
"181",2702306,2008,48359537.74,4692146.18,662.4,662.4,1816797.73,441828888.92
"182",2702306,2012,88904084.94,453629.26,NA,2308834.49,2129998.56,470649861.33
"183",2702306,2016,130971898.48,5053021.84,NA,2191313,1282986.28,616054610.55
"184",2702306,2020,154647570.58,10652685.39,60510,3578420.34,13232174.4,1060833221.49
"185",2702355,2008,12768717.42,0,0,0,327163.1,122048786
"186",2702355,2012,20357888.16,NA,NA,NA,NA,134398111.89
"187",2702355,2016,30223826.12,NA,NA,NA,1098663.5,209803709.52
"188",2702355,2020,53104372.23,NA,NA,NA,8490721.32,528057618.84
"189",2702405,2008,33100512.48,109573.5,0,0,1450967.16,326368745.44
"190",2702405,2012,51753448.1,1682771.02,NA,253190.01,5093477.02,307281823.53
"191",2702405,2016,57308315.1,152085.84,NA,363530.52,2677436.67,385301087.82
"192",2702405,2020,100747369.26,NA,NA,940704.88,10587108.63,945795946.14
"193",2702504,2008,6533112.2,0,0,0,442944.39,74277713.92
"194",2702504,2012,9199335.82,57909.92,NA,NA,1001893.22,79993271.76
"195",2702504,2016,12875237.25,167125,NA,NA,355481.1,109801067.61
"196",2702504,2020,NA,NA,NA,NA,NA,NA
"197",2702553,2008,10420592.52,153314,0,0,231365.68,97935566.52
"198",2702553,2012,12855073.3,NA,NA,NA,949938.38,107487227.43
"199",2702553,2016,20333988.07,NA,NA,NA,1646045.8,133092764.82
"200",2702553,2020,34609620.15,NA,NA,NA,2941036.12,245953390.5
"201",2702603,2008,11048926.72,0,0,0,117545.93,107985062.08
"202",2702603,2012,18141283.68,NA,NA,NA,4808097.02,152561701.86
"203",2702603,2016,20679620.29,NA,NA,NA,1907247.46,164534716.05
"204",2702603,2020,39060521.54,NA,NA,NA,2300981.71,357387678.18
"205",2702702,2008,4625535.14,0,0,0,323746.14,48617175.52
"206",2702702,2012,5480316.2,NA,NA,NA,267914.46,48275834.79
"207",2702702,2016,7498928.76,NA,NA,NA,221145.33,57479029.86
"208",2702702,2020,17011818.74,NA,83796.19,83796.19,269288.22,147293387.28
"209",2702801,2008,7484495.86,0,0,0,100933.04,86389667.28
"210",2702801,2012,NA,NA,NA,NA,NA,NA
"211",2702801,2016,NA,NA,NA,NA,NA,84245763.15
"212",2702801,2020,21012655.52,NA,NA,201991.34,641008.94,253612280.22
"213",2702900,2008,20029935.3,0,0,0,1157845.92,200863070.36
"214",2702900,2012,29069130.76,NA,NA,NA,1649370.3,241726446.24
"215",2702900,2016,37919632.22,23971.36,NA,NA,890985.1,353538783.42
"216",2702900,2020,58519924.67,1069360.8,NA,NA,756395.24,703534335.48
